;;Coiling;B-Ken;Lapping;Suriawase;Chrome Plating;PVD;GT;Ferrox/Mn. Parker
Januari;;;;;;;;;
;Target;101.802;99.777;110.126;86.310;108.024;70.016;74.928;107.994
;Aktual;98.124;97.213;100.520;90.128;110.107;69.451;78.235;100.564
;Difference;-3.678;-2.564;-9.606;3.818;2.083;-565;3.307;-7.430
Februari;;;;;;;;;
;Target;102.145;95.258;105.864;90.235;110.523;77.898;56.237;120.356
;Aktual;101.005;105.200;108.507;98.115;118.094;77.438;86.222;108.551
;Difference;-1.140;9.942;2.643;7.880;7.571;-460;29.985;-11.805
Maret;;;;;;;;;
;Target;102.144;100.552;106.542;91.289;113.696;95.236;60.254;150.987
;Aktual;101.004;101.903;105.210;94.818;114.797;74.141;82.925;105.254
;Difference;-1.140;1.351;-1.332;3.529;1.101;-21.095;22.671;-45.733
April;;;;;;;;;
;Target;104.874;97.825;108.431;92.802;113.090;80.465;58.804;122.923
;Aktual;102.534;103.201;106.508;96.116;116.095;75.439;84.223;106.552
;Difference;-2.340;5.376;-1.923;3.314;3.005;-5.026;25.419;-16.371
Mei;;;;;;;;;
;Target;105.989;104.162;110.152;94.899;117.306;98.846;63.864;154.597
;Aktual;96.203;99.073;100.010;103.317;92.925;112.904;72.248;81.032
;Difference;-9.786;-5.089;-10.142;8.418;-24.381;14.058;8.384;-73.565
Juni;;;;;;;;;
;Target;103.411;96.356;106.962;91.333;111.621;78.996;57.335;121.454
;Aktual;98.368;90.456;110.568;85.364;115.653;89.652;60.359;122.005
;Difference;-5.043;-5.900;3.606;-5.969;4.032;10.656;3.024;551
Juli ;;;;;;;;;
;Target;106.178;105.075;111.065;95.812;118.219;99.759;64.777;155.510
;Aktual;97.815;98.752;102.059;91.667;111.646;70.990;79.774;102.103
;Difference;-8.363;-6.323;-9.006;-4.145;-6.573;-28.769;14.997;-53.407
Agustus;;;;;;;;;
;Target;98.648;104.548;115.154;99.525;119.813;87.188;65.527;129.646
;Aktual;102.923;105.888;116.027;98.510;110.238;77.775;77.201;127.894
;Difference;4.275;1.340;873;-1.015;-9.575;-9.413;11.674;-1.752
September;;;;;;;;;
;Target;99.978;98.050;104.040;88.787;111.194;92.734;57.752;148.485
;Aktual;101.890;102.293;105.600;95.208;115.187;74.531;83.315;105.644
;Difference;1.912;4.243;1.560;6.421;3.993;-18.203;25.563;-42.841
Oktober;;;;;;;;;
;Target;100.868;101.562;111.911;88.095;109.809;71.801;76.713;109.779
;Aktual;100.925;102.341;112.480;94.963;106.691;74.228;73.654;124.347
;Difference;57;779;569;6.868;-3.118;2.427;-3.059;14.568
November;;;;;;;;;
;Target;101.166;96.357;106.963;91.334;111.622;78.997;57.336;121.455
;Aktual;99.528;99.101;102.408;92.016;111.995;71.339;80.123;102.452
;Difference;-1.638;2.744;-4.555;682;373;-7.658;22.787;-19.003
Desember;;;;;;;;;
;Target;99.005;90.848;101.454;85.825;106.113;73.488;51.827;115.946
;Aktual;107.211;111.102;121.241;103.724;115.452;82.989;82.415;133.108
;Difference;8.206;20.254;19.787;17.899;9.339;9.501;30.588;17.162
